english,tamil_reference,indictrans2_translation,sentence_bleu
"There is no fault in the blind, and there is no fault in the lame, and there is no fault in the sick, neither in yourselves, that you eat of your houses, or your fathers' houses, or your mothers' houses, or your brothers' houses, or your sisters' houses, or the houses of your uncles or your aunts paternal, or the houses of your uncles or your aunts maternal, or that whereof you own the keys, or of your friend; there is no fault in you that you eat all together, or in groups separately. But when you enter houses, greet one another with a greeting from God, blessed and good. So God makes clear to you the signs; haply you will understand.","(முஃமின்களே! உங்களுடன் சேர்ந்து உணவருந்துவதில்) குருடர் மீதும் குற்றமில்லை முடவர் மீதும் குற்றமில்லை, நோயாளியின் மீதும் குற்றமில்லை உங்கள் மீதும் குற்றமில்லை நீங்கள் உங்கள் சொந்த வீடுகளிலோ அல்லது உங்கள் தந்தைமார் வீடுகளிலோ, அல்லது உங்கள் தாய்மார் வீடுகளிலோ, அல்லது உங்கள் சகோதரர் வீடுகளிலோ, அல்லது உங்கள் சகோதரிகள் வீடுகளிலோ, அல்லது உங்கள் தந்தையின் சகோதரர் வீடுகளிலோ, அல்லது உங்கள் தந்தையின் சகோதரிகள் வீடுகளிலோ, அல்லது உங்கள் தாயின் சகோதரர்கள் வீடுகளிலோ, அல்லது உங்கள் தாயாரின் சகோதரிகள் வீடுகளிலோ, அல்லது எ(ந்த வீட்டுடைய)தின் சாவிகள் உங்கள் வசம் இருக்கின்றதோ (அதிலும்) அல்லது உங்கள் தோழரின் வீடுகளிலோ, நீங்கள் சேர்ந்தோ அல்லது தனித்தனியாகவோ புசிப்பது உங்கள் மீது குற்றமாகாது ஆனால் நீங்கள் எந்த வீட்டில் பிரவேசித்தாலும் அல்லாஹ்விடமிருந்து உங்களுக்குக் கிடைத்திருக்கும் முபாரக்கான - பாக்கியம் மிக்க - பரிசுத்தமான (""அஸ்ஸலாமு அலைக்கும்"" என்னும்) நல்வாக்கியத்தை நீங்கள் உங்களுக்குள் கூறிக்கொள்ளுங்கள் - நீங்கள் அறிந்து கொள்வதற்காக, இவ்வாறு அல்லாஹ் உங்களுக்கு(த் தன்) வசனங்களை விவரிக்கிறான்.","குருடனாகவும், முடவனாகவும் இருப்பதில் தவறில்லை. நோய்வாய்ப்பட்டவரிலும் குற்றமில்லை. உங்கள் வீடுகளிலிருந்தோ, உங்கள் தந்தையரின் வீடுகளிலிருந்து, உங்கள் தாய்மார்களின் வீடுகளில், உங்கள் சகோதரர்களின் வீடுகளில், அல்லது உங்கள் சகோதரிகளின் வீடுகளில் இருந்து, உங்கள் மாமாக்கள் அல்லது உங்கள் அத்தை தந்தையர்களின் வீடுகளில் இருந்தோ, அல்லது நீங்கள் சாவிகளை வைத்திருக்கும் மாமாக்கள், அல்லது அத்தை தாய்மார்கள், அல்லது நண்பர்களின் வீடுகளில் இருந்து நீங்கள் சாப்பிடுகிறீர்கள். நீங்கள் ஒன்றாகச் சாப்பிடுவதிலோ அல்லது குழுக்களாகச் செல்வதிலோ உங்களுக்கு எந்தத் தவறும் இல்லை. ஆனால் நீங்கள் வீடுகளுக்குள் நுழையும்போது, ஒருவருக்கொருவர் அல்லாஹ்விடமிருந்து ஒரு வாழ்த்துச் சொல்லுங்கள், பாக்கியம் பெற்றவன், நல்லவன். எனவே அல்லாஹ் உங்களுக்குச் சான்றுகளை விளக்குகிறான். நீங்கள் புரிந்துகொள்ளுங்கள்.",2.32
Cursor Color,கர்சர் வண்ணம்,கர்சர் நிறம்,50.0
- How are we gonna get enough money in time?,நேரத்தில் போதுமான பணம் எடுப்பாய் இருக்கும்?,- நாம் எப்படி சரியான நேரத்தில் போதுமான பணத்தை பெறப் போகிறோம்?,4.99
Lissajous loops. This one draws the progress of circular shapes along a path. http: / /en. wikipedia. org/ wiki/ Lissajous_curve Written by Alexander Jolk; 1997.,இன்னும் ஒரு லிசாகியஸ் வடிவம். முன்னேற்றப்பட்ட வட்ட வடிவத்தை பாதையின் வழியாக வரைகிறது. அலெக்ஸான்டர் சோல்க்கால் வரையப்பட்டது.,லிஸாஜஸ் சுழல்கள். இது ஒரு பாதையில் வட்ட வடிவங்களின் முன்னேற்றத்தை ஈர்க்கிறது. அலெக்ஸாண்டர் ஜோக் எழுதியது.,3.6763
Size,தலைப்பு,அளவு.,0.0
Angle z tilt,z தலைப்பு கோணம்,கோணம் z சாய்வு,34.6681
Exchange Card %1,1 அட்டையை பரிமாறு,பரிமாற்ற அட்டை% 1,15.9736
& Mike. McBride;,& Mike. McBride;,& மைக். மெக்பிரைட்;,14.0585
- What?,- என்ன?,- என்ன?,100.0
These settings determines when the filter is applied to text.,பணிகளின் உரைக்கு அலங்காரத்தை பயன்படுத்தும்போது இந்த அமைப்புகள் வரையறுக்கிறது.,உரையில் வடிகட்டி எப்போது பயன்படுத்தப்படுகிறது என்பதை இந்த அமைப்புகள் தீர்மானிக்கின்றன.,10.5527
Shows the properties dialog for the currently selected item(s).,தற்போது தேர்வு செய்யப்பட்ட கோப்புகளை கம்பேர் கொண்டு ஒப்பிடுக.,தற்போது தேர்ந்தெடுக்கப்பட்ட உருப்படிகளுக்கான பண்புகள் உரையாடலைக் காட்டுகிறது.,6.7702
Name,பெயர்,பெயர்.,50.0
"Unless by Our benevolence, to reap advantage for a time.","நம்முடைய கருணையினால் சிறிது காலம் அவர்கள் சுகிப்பதற்காக (விட்டு வைக்கப்பட்டாலன்றி),","நமது அருளால் இல்லையென்றால், ஒரு குறிப்பிட்ட காலத்திற்கு நன்மையை அறுவடை செய்ய வேண்டும்.",3.3865
Green means ready,பச்சை என்றால் தயார் என்று பொருள்,பச்சை என்றால் தயார் என்று பொருள்.,75.9836
General,பொதுவான,ஜெனரல்,0.0
Do you think it made any difference?,நீங்கள் எந்த மாற்றத்தையும் ஏற்படுத்தவில்லை என்று நினைக்கிறேன்?,அது ஏதேனும் வித்தியாசத்தை ஏற்படுத்தியது என்று நீங்கள் நினைக்கிறீர்களா?,7.2679
south,தெற்கு,தெற்கு,100.0
General,பொது,ஜெனரல்,0.0
"%s is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version %d of the License, or (at your option) any later version.",%s இலவச மென் பொருளாகும். நீங்கள் இலவச மென் பொருள் அமைப்பினால் வெளியிடப்பட்ட ஜிஎன்யு பொது அனுமதிக்கான இந்த %d பதிப்பு அல்லது அடுத்த பதிப்புகள் விதிகளின் படி நீங்கள் (விருப்பப்படி) மாற்றலாம். அல்லது மீண்டும் பறிமாறலாம்,% s என்பது இலவச மென்பொருளாகும்; இலவச மென்பொருள் அறக்கட்டளையால் வெளியிடப்பட்ட குனு பொது பொது உரிமத்தின் விதிமுறைகளின் கீழ் நீங்கள் அதை மறுவிநியோகம் செய்யலாம் மற்றும்/அல்லது மாற்றியமைக்கலாம்; உரிமத்தின் பதிப்பு% d அல்லது (உங்கள் விருப்பப்படி) எந்த பிந்தைய பதிப்பு.,4.2899
Device,சாதனம்,சாதனம்,100.0
Adjusts the saturation of the image coming from the camera,கேமிராவில் இருந்து வரும் படங்களின் தெவிட்ட மட்டத்தை கட்டுப்படுத்துகிறது,கேமராவிலிருந்து வரும் படத்தின் செறிவை சரிசெய்கிறது,7.1605
Is used to notify that the table summary has changed,அட்டவணை சுருக்கம் மாற்றப்பட்டதைக் குறிப்பிட பயன்படும்,அட்டவணை சுருக்கம் மாறிவிட்டது என்பதை அறிவிக்க பயன்படுகிறது,16.2334
Searching/ Replacing Strings Table,தேடுகிறது/ தொடர்கள் அட்டவணையை இடம் மாற்றுகிறது,சரங்கள் அட்டவணையைத் தேடுதல்/மாற்றுதல்,8.7458
- ( both grunt ),- (இரண்டு கிரண்ட்),- (இருவரும் முணுமுணுக்கிறார்கள்),23.6435
Center Z,மையம் Z,மையம் Z,100.0
_Quit,வெளியேறு (_Q),_ வெளியேறவும்,11.1565
Accessible Table Row Description,அணுகக்கூடிய அட்டவணை நிரை விளக்கம்,அணுகக்கூடிய அட்டவணை வரிசை விளக்கம்,35.3553
_Hint,"_உதவி குறிப்பு_New"" is for the menu item 'Game->New', implies ""New Game",_ குறிப்பு,0.0144
Name,பெயர்,பெயர்.,50.0
table cell,அட்டவணை அறை,மேஜை செல்,0.0
Breaching the genesis chamber is a Class B crime..,மீறினால்ஆதியாகமம்அறை ஒரு கிளாஸ் பி குற்றம் ..,தோற்றம் அறையை மீறுவது ஒரு வகுப்பு பி குற்றமாகும்.,7.2679
"Say, [O Muhammad], ""Do you argue with us about Allah while He is our Lord and your Lord? For us are our deeds, and for you are your deeds. And we are sincere [in deed and intention] to Him.""","அல்லாஹ்வைப் பற்றி நீங்கள் எங்களிடம் தர்க்கிக்கிறீர்களா? அவனே எங்கள் இறைவனும், உங்கள் இறைவனும் ஆவான்;, எங்கள் செய்கைகளின் (பலன்) எங்களுக்கு, உங்கள் செய்கைகளின் (பலன்) உங்களுக்கு, மேலும் நாங்கள் அவனுக்கே கலப்பற்ற (ஈமான் உடைய)வர்களாக இருக்கின்றோம்"" என்று (நபியே! அவர்களுக்கு) நீர் கூறுவீராக.","(நபியே!) நீர் கூறுவீராகஃ அல்லாஹ்வின் மீது நீர் எங்களுடன் வாக்குவாதம் செய்கிறீரா? அவனே எங்களுக்கும், உமக்கும் இறைவனாகவும் இருக்கின்றான். எங்களுக்கு நாமே கிரியைகள், உமக்கு நாமே கிரியைகளே. மேலும் நாம் அவனிடத்தில் நேர்மையுள்ளவர்களாகவும் இருக்கிறோம்.",4.3836
Don't worry about it.,அதை பற்றி கவலைப்பட வேண்டாம்.,அதைப் பற்றிக் கவலைப்பட வேண்டாம்.,39.7635
Who Needs Enemies?,யாருக்கு எதிரிகள் வேண்டும்?,யாருக்கு எதிரி தேவை?,18.9959
Enabled,செயல்படுத்தப்பட்டது,இயக்கப்பட்டது,0.0
Please wait while the project is loading.,திட்டம் ஏற்றப்படுகையில் தயவு செய்து காத்திருக்கவும்.,திட்டம் ஏற்றப்படும் வரை காத்திருங்கள்.,10.4006
And from Our creation is a group that shows the truth and establishes justice with it.,நாம் படைத்தவர்களில் ஒரு கூட்டத்தார் இருக்கின்றார்கள். அவர்கள் சத்திய வழியைக் காட்டுகிறார்கள்; அதைக் கொண்டு நீதியும் செலுத்துகிறார்கள்.,"மேலும், நமது படைப்பிலிருந்து சத்தியத்தை வெளிப்படுத்தி, அதன் மூலம் நீதியை நிலைநாட்டும் ஒரு குழு உள்ளது.",2.9236
Would you like to burn the selection of files across several media?,நீங்கள் தேர்ந்தெடுத்த கோப்புகளை பல ஊடகங்களுக்குள் விரவி எழுத விரும்புகிறீர்களா?,பல ஊடகங்களில் தேர்ந்தெடுக்கப்பட்ட கோப்புகளை எரிக்க விரும்புகிறீர்களா?,11.7378
Open Project,திட்டத்தை திற,திறந்த திட்டம்,0.0
Plugins,செருகல்கள்,செருகுநிரல்கள்,0.0
ZARTAN:,ZARTAN:,ஜார்டன்ஃ,0.0
_Contents,உள்ளடக்கங்கள் (_C),_ உள்ளடக்கங்கள்,15.7777
"SRI had no luck, so they asked us to take a crack at it.","செம்மை நெல் சாகுபடி, எந்த அதிர்ஷ்டம் இருந்தது, அதனால் அவர்கள் நமக்கு கேட்டார் இது ஒரு கிராக் எடுத்து,","எஸ். ஆர். ஐ. க்கு அதிர்ஷ்டம் இல்லை, எனவே அவர்கள் அதைச் சரிசெய்யும்படி எங்களிடம் கேட்டுக்கொண்டனர்.",3.0098
Specify:,உருவகைகள்,குறிப்பிடுகஃ,0.0
Zoom In,ஆழத்தை குறைக்கவும்,பெரிதாக்கு,0.0
"Had these (idols, etc.) been aliha (gods), they would not have entered there (Hell), and all of them will abide therein.","இவை தெய்வங்களாக இருந்திருந்தால், (அந் நரகத்திற்கு) வந்து சேர்ந்திருக்க மாட்டா இன்னும் அனைவரும் அதில் நிரந்தரமாயிருப்பர்.","இவை (சிலைகள் போன்றவை) அலிஹா (கடவுள்கள்) ஆக இருந்திருந்தால், அவர்கள் அங்கு (நரகத்தில்) நுழைந்திருக்க மாட்டார்கள், மேலும் அவர்கள் அனைவரும் அதில் தங்கியிருப்பார்கள்.",4.859
Could Not Delete Original File,அசல் கோப்பினை நீக்க முடியவில்லை,அசல் கோப்பை நீக்க முடியவில்லை,35.3553
& Mike. McBride;,& Mike. McBride;,& மைக். மெக்பிரைட்;,14.0585
Move ~a onto the ten of diamonds.,டைமண்டின் பத்து மீது ~a ஐ நகர்த்து,பத்து வைரங்களுக்கு ~ a ஐ நகர்த்தவும்.,26.2691
Fragment shader,பகுதி நிழல்,துண்டு ஷேடர்,0.0
Lars Doelle,லாரஸ் டொயல்லெ,லார்ஸ் டோய்ல்,0.0
_Contents,உள்ளடக்கங்கள் (_C),_ உள்ளடக்கங்கள்,15.7777
Small,சிறிய,சிறியது.,0.0
And withhold things of common use (from others).,"மேலும், அற்பமான (புழங்கும்) பொருள்களைக் (கொடுப்பதை விட்டும்) தடுக்கிறார்கள்.",(மற்றவர்களிடமிருந்து) பொதுவாகப் பயன்படுத்தப்படும் விஷயங்களைத் தடுக்கவும்.,3.8902
"CCT, we're approaching..","சிசிடி, நாம்நெருங்கி..","சிசிடி, நாங்கள் நெருங்குகிறோம்..",22.9575
Height of the actor,நடிகருக்கான உயரம்,நடிகரின் உயரம்,50.0
The number of vertical tiles,செங்குத்து ஓடுகளின் எண்ணிக்கை,செங்குத்து ஓடுகளின் எண்ணிக்கை,100.0
International,சான்றிதழ் தகவல்,சர்வதேச,0.0
"♪ BABY, LIFE'S TOO SHORT",", வாழ்க்கை ♪ குழந்தை கூட குறும்","குழந்தை, வாழ்க்கையின் மிகக் குறுகிய காலம்",9.6524
Add,ஏ. கே. ஏ,சேர்க்கவும்.,11.1565
Close,மூடு,மூடு,100.0
Whether the current stream is seekable,தற்போதைய ஸ்ட்ரெம் தேடக்கூடியதாக இருந்தால்,தற்போதைய நீரோட்டம் தேடத்தக்கதா,19.7161
